Biomarker_Name,Type,Developer,Measurement_Method,Validated_In_Humans,Correlation_With_Mortality,Sensitivity_To_Interventions,Commercial_Availability,Cost_Approx,Key_Publication,Year,Notes
"Horvath Clock (Multi-Tissue)","Epigenetic (1st generation)","Steve Horvath / UCLA","353 CpG sites via Illumina 450K/EPIC array; elastic net regression trained on 8000 samples across 51 cell types",Yes,"Moderate (EAA +5yr ~ 15-20% increased mortality risk)","Moderate (responds to CR, TRIIM trial -2.5yr, lifestyle interventions -3.23yr, CaAKG)","Yes (TruDiagnostic, Elysium, myDNAge, Chronomics)","$200-$500","Horvath S. DNA methylation age of human tissues and cell types. Genome Biol. 2013;14(10):R115",2013,"Most widely cited epigenetic clock; multi-tissue applicability; MAE ~3.6 years; first-generation clock trained on chronological age"
"Hannum Clock","Epigenetic (1st generation)","Gregory Hannum / UCSD","71 CpG sites from whole blood via Illumina 450K/EPIC array; elastic net regression trained on 656 blood samples",Yes,"Moderate (similar to Horvath; outperformed by GrimAge and PhenoAge)","Moderate (responds to some lifestyle and pharmacological interventions)","Yes (TruDiagnostic, Elysium, myDNAge)","$200-$500","Hannum G et al. Genome-wide methylation profiles reveal quantitative views of human aging rates. Mol Cell. 2013;49(2):359-367",2013,"Blood-specific; simpler model (71 CpGs); MAE ~4.9 years; does not work well on non-blood tissues"
"PhenoAge (Levine Clock)","Epigenetic (2nd generation)","Morgan Levine (Yale/Altos Labs) and Steve Horvath (UCLA)","Two-step: phenotypic age from 9 clinical biomarkers + chronological age, then 513 CpG DNAm predictor via elastic net; blood-based Illumina 450K/EPIC",Yes,"Strong (HR ~1.04-1.05 per year of acceleration; predicts CVD, cancer, multi-morbidity)","Moderate to High (responds to CR, weight loss, pharmacological agents; clinical biomarker basis increases metabolic responsiveness)","Yes (TruDiagnostic, Elysium, other providers)","$200-$500","Levine ME et al. An epigenetic biomarker of aging for lifespan and healthspan. Aging (Albany NY). 2018;10(4):573-591",2018,"Trained on mortality-relevant phenotypic data; phenotypic age component calculable from standard blood tests; affected by acute illness"
"GrimAge","Epigenetic (2nd generation)","Ake Lu and Steve Horvath / UCLA","1030 CpG sites; DNAm surrogates for 7 plasma proteins (adrenomedullin, beta-2 microglobulin, cystatin C, GDF-15, leptin, PAI-1, TIMP-1) + smoking pack-years; blood via Illumina EPIC array",Yes,"Very Strong (strongest epigenetic mortality predictor; HR ~1.07-1.10 per year of acceleration; predicts CHD, cancer, T2D, COPD)","High (responds to CR via CALERIE trial, weight loss, exercise, smoking cessation; primary endpoint in PEARL rapamycin trial)","Yes (TruDiagnostic TruAge Complete)","$250-$500","Lu AT et al. DNA methylation GrimAge strongly predicts lifespan and healthspan. Aging (Albany NY). 2019;11(2):303-327",2019,"Best mortality predictor among epigenetic clocks (confirmed NIA 2025); captures smoking exposure; blood-based only; requires Illumina EPIC array"
"GrimAge2","Epigenetic (2nd generation, updated)","Ake Lu and Steve Horvath / UCLA","Updated version of GrimAge with improved accuracy; same Illumina EPIC array platform and methylation surrogate approach",Yes,"Very Strong (improved over original GrimAge)","High (same intervention sensitivity profile as GrimAge with improved precision)","Yes (TruDiagnostic TruAge Complete)","$250-$500","Lu AT et al. DNA methylation GrimAge version 2. Aging (Albany NY). 2022;14(23):9484-9549",2022,"Updated coefficients and improved accuracy over original GrimAge; recommended for new studies over original version"
"DunedinPACE","Epigenetic (3rd generation, pace-of-aging)","Daniel Belsky (Columbia), Avshalom Caspi and Terrie Moffitt (Duke)","173 CpG sites via Illumina EPIC array from blood; trained on Dunedin Longitudinal Study (1037 individuals, 19 repeated measures over 20+ years); measures RATE of aging not biological age",Yes,"Strong (each 0.1-unit increase ~ 10-15% increased mortality risk; predicts all-cause, CVD, and cancer mortality)","Excellent (most sensitive to interventions; CALERIE trial reduced pace ~2-3%; responds to lifestyle modifications; designed for intervention sensitivity)","Yes (TruDiagnostic TruAge panel, exclusive commercial license)","$229-$500","Belsky DW et al. DunedinPACE, a DNA methylation biomarker of the pace of aging. eLife. 2022;11:e73420",2022,"Measures rate of aging (value of 1.0 = normative); most clinically actionable; ideal for clinical trial endpoints; Dunedin cohort is predominantly European-ancestry"
"OMICmAge","Multi-omic","TruDiagnostic / collaborators","Integrates DNA methylation with metabolomic, proteomic, and clinical biomarker data for composite biological age estimate",Partially,"Unknown (early validation reported)","Unknown (theoretical advantage from multi-omic integration)","Yes (TruDiagnostic comprehensive panels)","$300-$500","Not yet available as standalone peer-reviewed publication",2023,"Represents trend toward multi-omic integration; hypothesis is that combining molecular modalities captures more aging dimensions than single-omic clocks"
"SYMPHONYAge","Composite / Multi-omic","TruDiagnostic / academic collaborators","Composite clock integrating multiple epigenetic and omic signals into a unified aging score",Partially,"Unknown (under active validation)","Unknown (early-stage assessment)","Yes (TruDiagnostic panels)","$300-$500","Not yet available as standalone peer-reviewed publication",2024,"Newer composite clock; included in TruDiagnostic reporting panels; less independent validation than established clocks"
"TallyAge (CheekAge)","Epigenetic","David Sinclair (Harvard) / Tally Health","Cheek swab (buccal sample); custom DNA methylation panel; proprietary CheekAge clock algorithm",Partially,"Moderate (CheekAge reported to predict mortality in validation cohorts)","Unknown (limited published intervention data)","Yes (Tally Health, tallyhealth.com)","$229 per test; subscription ~$99/month","CheekAge publication pending full peer review (2024 preprint)",2024,"Non-invasive buccal sampling; consumer-friendly; gamified interface; potential conflict of interest with Sinclair supplement ventures"
"GlycanAge","Glycomic","Genos Ltd (Zagreb, Croatia); Gordan Lauc","Blood sample analyzed by UPLC for IgG glycosylation patterns; pro-inflammatory agalactosylated glycans increase with age",Yes,"Moderate (validated for immune aging and inflammatory status; less validated for mortality than epigenetic clocks)","Moderate (responds to lifestyle changes, diet, exercise, stress reduction, weight loss; changes detectable in 3-6 months)","Yes (GlycanAge, glycanage.com)","$299-$399","Kristic J et al. Glycans are a novel biomarker of chronological and biological ages. J Gerontol A Biol Sci Med Sci. 2014;69(7):779-789",2014,"Unique glycomic perspective; captures immune/inflammatory aging; validated on >100000 samples; measures single dimension of aging"
