Company_Name,Founded,Headquarters,Total_Funding_USD,Key_Investors,Core_Technology,Approach_Category,Pipeline_Compounds,Lead_Program_Stage,Key_Partnerships,Notable_Publications,Website,Last_Updated,Notes
Altos Labs,2022,"San Diego, California, USA",$3000000000,"Yuri Milner (DST Global), Jeff Bezos, ARCH Ventures",Cellular rejuvenation via partial epigenetic reprogramming (Yamanaka factors and novel combinations),Epigenetic Reprogramming,"Partial reprogramming biology, tissue-specific rejuvenation, chemical reprogramming, ISRIB (ISR)",Translational Research / Early human safety testing (Aug 2025),"Academic institute partnerships (4 global research institutes), internal semi-independent institute structure","Gill et al. 2022 eLife (transient reprogramming rejuvenation); Browder et al. 2022 Nature Aging (in vivo partial reprogramming in mice); Horvath advanced epigenetic clocks",altoslabs.com,2025-02,"World-class team includes Nobel laureates Yamanaka and Doudna; Hal Barron (ex-GSK CSO) as CEO; 4 institutes in San Diego, Bay Area, Cambridge UK, Tokyo"
Calico (Alphabet),2013,"South San Francisco, California, USA","$2500000000-$4000000000 (estimated, Alphabet + AbbVie)","Alphabet Inc. (Google), AbbVie ($1.5B joint partnership)","Fundamental aging biology, drug discovery, computational biology, model organism research (naked mole-rats)",Multi-target,"ABBV-CLS-484 (PTPN2, immuno-oncology), ABBV-CLS-579 (SHP2, immuno-oncology), senescence programs, proteostasis programs",Phase 1 (immuno-oncology programs with AbbVie),"AbbVie (50/50 drug development partnership), Broad Institute, Allen Institute for Brain Science","Ruby et al. 2018 eLife (naked mole-rat mortality); Schaum et al. 2020 Nature (Tabula Muris Senis single-cell atlas)",calicolabs.com,2025-02,"Alphabet subsidiary under Other Bets; pipeline skewed toward oncology rather than aging per se; criticized for secrecy and limited aging-specific therapeutic output after 10+ years"
Retro Biosciences,2021,"Redwood City, California, USA","$1180000000 ($180M seed + $1B Series A at $5B valuation)","Sam Altman (OpenAI CEO, ~$180M personal investment)","Partial epigenetic reprogramming, autophagy upregulation, plasma-inspired therapeutics",Epigenetic Reprogramming,"Reprogramming program (in vivo partial reprogramming), autophagy program (TFEB/mTORC1), plasma program (young plasma factor therapeutics)",Preclinical / First human trial in Australia by end of 2025,"Academic collaborations, Bay Area longevity ecosystem","Conference presentations by CEO Joe Betts-LaCroix on reprogramming kinetics and delivery systems (2023-2024)",retro.bio,2025-02,"Three parallel platforms provide diversification; mission: add 10 healthy years to human lifespan; CEO Joe Betts-LaCroix"
NewLimit,2022,"South San Francisco, California, USA",$105000000,"Blake Byers (co-founder, ex-GV/Google Ventures partner), Brian Armstrong","ML-guided epigenetic reprogramming, CRISPR-based epigenetic editing, T cell rejuvenation",Epigenetic Reprogramming,"T cell rejuvenation (ex vivo epigenetic reprogramming), ML reprogramming platform, epigenetic editing tools",Preclinical,"Academic collaborations for single-cell genomics and immunology, Google/Alphabet ecosystem connections","Preprints on ML-guided reprogramming factor identification; data on T cell reprogramming and partial rejuvenation (2023-2024)",newlimit.com,2025-02,"Co-founded by Blake Byers and Jacob Kimmel (ex-Google Brain/Calico); T cell focus provides practical entry point analogous to CAR-T manufacturing"
Turn Biotechnologies,2018,"Mountain View, California, USA","$30000000-$55000000 (estimated)","Metaplanet (Yuri Milner), biotech-focused VCs","ERA (Epigenetic Reprogramming of Aging) platform via mRNA delivery of Yamanaka factors using lipid nanoparticles",Epigenetic Reprogramming,"ERA-01/TRN-001 (skin aging/dermatology, intradermal mRNA), ERA-OA (osteoarthritis, intra-articular mRNA), systemic ERA","Preclinical / IND-enabling studies for TRN-001 targeting 2026","Stanford University (scientific founders), HanAll Biopharma ($300M partnership deal)","Sarkar et al. 2020 Nature Communications (transient non-integrative reprogramming rejuvenates human cells); preclinical skin rejuvenation data",turnbiotechnologies.com,2025-02,"mRNA approach avoids permanent genetic modification; leverages COVID-era mRNA/LNP technology advances; skin aging as practical first target"
Life Biosciences,2017,"Boston, Massachusetts, USA","$100000000-$115000000 (estimated)",Longevity-focused biotech investors,"In vivo epigenetic reprogramming via AAV-delivered OSK factors; originally a holding company with multiple aging hallmark subsidiaries (consolidated)",Epigenetic Reprogramming,"Optic nerve/glaucoma OSK reprogramming, systemic reprogramming, Jumpstart Fertility (spun out)",Preclinical / Human clinical trials expected early 2026 (eye application),"Harvard Medical School (David Sinclair lab)","Lu et al. 2020 Nature (AAV-OSK restores vision in mice); Yang et al. 2023 Cell (ICE mouse model -- epigenetic information loss drives aging)",lifebiosciences.com,2025-02,"Founded by David Sinclair; restructured from multi-subsidiary holding company to focus on reprogramming; Sinclair conflict-of-interest scrutiny"
Loyal,2019,"San Francisco, California, USA","$58000000-$85000000 (estimated)","Khosla Ventures, Founders Fund, a16z (Andreessen Horowitz), Thiel Capital","Dog aging drugs targeting IGF-1 axis (LOY-001) and mTOR pathway (LOY-002)",Other,"LOY-001 (large breed dog lifespan extension, IGF-1 axis modulation, long-acting injectable), LOY-002 (senior dog healthspan, mTOR modulation, daily oral)",Clinical (veterinary) -- FDA REE determination received for LOY-001 (2024),"FDA Center for Veterinary Medicine, veterinary schools, Dog Aging Project","Celine Halioua op-eds and conference talks on regulatory pathway; IGF-1 / breed size / lifespan correlation data",loyalfordogs.com,2025-02,"First FDA 'reasonable expectation of effectiveness' determination for lifespan extension drug; CEO Celine Halioua; LOY-001 conditional approval potentially 2025-2026"
Cambrian Biopharma,2019,"New York, New York, USA","$100000000-$150000000 (estimated)","General Atlantic, EQT Life Sciences","Distributed development platform / holding company acquiring and advancing early-stage aging biology programs",Multi-target,"Senescence programs (via acquired assets), proteostasis/autophagy/inflammation programs (various portfolio companies)",Preclinical (various portfolio programs),"Academic labs, early-stage biotech programs","James Peyer thought leadership publications on longevity biotech landscape and investment thesis",cambrianbio.com,2025-02,"CEO James Peyer PhD; $1.79B reported valuation; platform model acquires promising aging programs and provides shared clinical development resources"
BioAge Labs,2015,"Richmond, California, USA","$400000000+ (including ~$198M IPO)","Andreessen Horowitz (a16z), Insight Partners","Genomics + biobank-driven drug discovery for aging using longitudinal human cohorts and multi-omics",Multi-target,"Azelaprag/BGE-117 (HIF-PHI, obesity/metabolic disease), BGE-105 (apelin receptor, muscle/metabolic aging)",Phase 2 (Azelaprag -- disappointing results late 2024),"Akebia Therapeutics (azelaprag license)","Fortney et al. publications on aging biobank platform and multi-omics analysis; IPO S-1 filing (2024)",bioagelabs.com,2025-02,"IPO on NASDAQ (BIOA) September 2024; azelaprag Phase 2 results disappointing vs GLP-1 agonists; CEO Kristen Fortney PhD; reassessing pipeline"
Rubedo Life Sciences,2019,"Sunnyvale, California, USA","$45000000-$50000000 (estimated)",Longevity-focused VCs,"Precision senolytics using DARTS (Data-driven Aging Related Target Selection) platform; single-cell profiling of senescent cell subsets",Senolytics,"RLS-1 (dermatology/skin aging, specific senescent cell surface marker), fibrosis program (senescent fibroblasts in IPF/liver fibrosis)",Preclinical,"Academic collaborations on senescent cell heterogeneity","Demaria et al. 2014 Developmental Cell (beneficial senescent cells in wound healing); single-cell senescent cell characterization publications",rubedolife.com,2025-02,"Co-founded by Marco Demaria PhD; differentiates from broad senolytics by targeting pathogenic senescent cell subsets while sparing beneficial ones; ~$40M Series A"
