Intervention_Name,Category,Subcategory,Mechanism_of_Action,Target_Hallmark(s),Preclinical_Evidence_Summary,Lifespan_Extension_Pct,Species_Tested,Clinical_Trial_Phase,NCT_Number,Clinical_Endpoints,Clinical_Results_Summary,Safety_Profile,Key_Publication,Publication_Year,DOI_or_URL,Evidence_Grade,Notes
"Dasatinib + Quercetin (D+Q)",Senolytic,Tyrosine kinase + flavonoid combination,"Multi-kinase inhibitor (dasatinib targets Src/ephrin kinases in senescent preadipocytes) + flavonoid (quercetin inhibits PI3K/BCL-2/BCL-xL/serpines in senescent endothelial cells); synergistic SCAP network disruption",Cellular Senescence;Chronic Inflammation;Stem Cell Exhaustion,"~36% remaining lifespan extension in 24-month-old mice (Xu et al. 2018); reduced senescent cell burden in adipose, bone, brain, lung; improved cardiovascular function, exercise endurance, cognition",36,Mouse;Human (pilot),Phase 2,"NCT04063124;NCT02848131;NCT04685590;NCT06018467","CSF senescence markers; brain MRI; adipose SA-beta-gal; SASP factors (IL-6, MMP-9); bone resorption markers","First human senolytic proof-of-concept: reduced adipose p16INK4a and SA-beta-gal in DKD patients; STAMINA study safe with TNF-alpha reduction correlating with MoCA improvement; Phase 2 AD and osteoporosis trials active","Intermittent dosing well-tolerated; mild GI symptoms and fatigue most common; no serious AEs in pilot studies; 2024 concern re: kidney damage in acute nephropathy model; dasatinib oncology risks (thrombocytopenia, pleural effusion) reduced at senolytic doses","Xu M et al. Senolytics improve physical function and increase lifespan in old age. Nat Med. 2018;24(8):1246-1256",2018,10.1038/s41591-018-0092-9,B,"Typical dosing: Dasatinib 100mg + Quercetin 1000-1250mg for 3 consecutive days every 2-4 weeks (hit-and-run regimen)"
Fisetin,Senolytic,Natural flavonoid,"BCL-2/BCL-xL inhibition; PI3K/AKT/mTOR suppression; NF-kB suppression; p53 stabilization; SIRT1 activation; Nrf2 activation; most potent senolytic flavonoid identified in screening",Cellular Senescence;Chronic Inflammation,"~10% median and maximum lifespan extension in late-life treated mice (Yousefzadeh et al. 2018); selectively killed senescent HUVECs at 4-fold lower IC50 vs non-senescent; improved frailty and grip strength comparable to genetic p16+ clearance (2025)",10,Mouse;Human cells;C. elegans,Phase 2,"NCT03675724;NCT06431932;NCT04537299;NCT07195318;NCT06133634","Circulating IL-6 and SASP markers; frailty index; gait speed; grip strength; clinical severity in COVID-19","AFFINITY trial: well-tolerated with mixed SASP marker results; Mayo Clinic long-COVID: 64% of 44 fisetin-treated patients (of 536 total) reported significant symptom alleviation; TROFFi trial ongoing in frail breast cancer survivors","Generally well-tolerated; mild GI symptoms; GRAS status as dietary supplement; bioavailability is a significant challenge (extensive first-pass metabolism, low aqueous solubility); inhibits CYP2C8 and CYP3A4 in vitro","Yousefzadeh MJ et al. Fisetin is a senotherapeutic that extends health and lifespan. EBioMedicine. 2018;36:18-28",2018,10.1016/j.ebiom.2018.09.015,B,"Natural flavonoid found in strawberries, apples, persimmons; bioavailability remains the key translational challenge"
"Navitoclax (ABT-263)",Senolytic,BH3 mimetic,"Small-molecule BH3 mimetic; inhibits BCL-2/BCL-xL/BCL-w with Ki < 1 nM; displaces pro-apoptotic BH3-only proteins (BIM, BAD, PUMA); triggers BAX/BAK oligomerization and cytochrome c release; senescent cells preferentially killed due to elevated BCL-2/BCL-xL",Cellular Senescence;Stem Cell Exhaustion,"Selectively killed senescent HUVECs and IMR90 fibroblasts; rejuvenated aged hematopoietic stem cells (Chang et al. 2016); galactose-modified Nav-Gal reduced off-target thrombocytopenia; topical application on aged mouse skin effective (Dec 2024); effective in glioma/DMG models (2025)",Not reported,Mouse;Human cells,No aging trials,"N/A","N/A (oncology endpoints only in existing trials)","No dedicated aging/longevity clinical trials; extensive oncology history (CLL, lymphoma); 2024-2025 focus on topical/local delivery to avoid systemic thrombocytopenia; prodrug strategies (Nav-Gal, PZ-15227) in development","Major dose-limiting toxicity: thrombocytopenia (BCL-xL essential for platelet survival); neutropenia less common; nausea, diarrhea, fatigue from oncology trials; topical delivery may circumvent systemic toxicity","Zhu Y et al. Identification of a novel senolytic agent navitoclax targeting the Bcl-2 family. Aging Cell. 2016;15(3):428-435",2016,10.1111/acel.12445,C,"Thrombocytopenia is the primary obstacle to aging indication; local/topical delivery and prodrug approaches (Nav-Gal) are key strategies"
"UBX1325 (Foselutoclax)",Senolytic,BCL-xL inhibitor (intravitreal),"Small-molecule BCL-xL inhibitor designed for intravitreal injection; eliminates senescent retinal pigment epithelial cells, endothelial cells, and pericytes; reduces SASP factors (VEGF, IL-6, IL-8) in diabetic retina",Cellular Senescence;Chronic Inflammation,"Selectively killed senescent human RPE cells, endothelial cells, Muller glia in vitro; reduced senescent cell burden and SASP in mouse retinal degeneration models; single injection provided weeks of durability; no retinal toxicity in rabbit/NHP studies",N/A,Mouse;Rabbit;Non-human primate;Human,Phase 2b,"NCT04537884;NCT04857996","ETDRS visual acuity letters gained; central subfield thickness (OCT); durability of effect; safety","Phase 2b ASPIRE: 5.6 more ETDRS letters vs sham at week 48 (95% CI: -1.5 to 12.7); statistically significant and clinically meaningful; 48-week durability from single injection; BEHOLD Phase 2 did not meet primary endpoint at 24 weeks","No dose-limiting toxicities in Phase 1; no TEAEs leading to discontinuation in Phase 2b; no systemic thrombocytopenia (local delivery avoids systemic BCL-xL inhibition); injection-related AEs only (conjunctival hemorrhage, eye pain)","UBX1325 ASPIRE Phase 2b results. NEJM Evidence",2024,https://www.nejm.org/doi/full/10.1056/NEJMoa2310065,A,"Unity Biotechnology secured $55M Series C (2024); intravitreal delivery avoids systemic BCL-xL inhibition toxicity; BEHOLD failed but ASPIRE succeeded"
"Rapamycin (Sirolimus)",mTOR Inhibitor,Macrolide mTORC1 inhibitor,"Binds FKBP12; rapamycin-FKBP12 complex inhibits mTORC1 FRB domain; suppresses S6K1/S6K2 (protein synthesis); activates autophagy (ULK1 de-repression); activates TFEB (lysosomal biogenesis); reduces SASP (senomorphic); modulates immune function at low doses",Deregulated Nutrient-Sensing;Disabled Macroautophagy;Loss of Proteostasis;Cellular Senescence;Chronic Inflammation,"9-26% lifespan extension dose-dependent in ITP mice (Harrison 2009, Miller 2014); 36.6% with acarbose combo; short-term treatment in middle-aged mice extended lifespan (Bitto 2016); improved cardiac function in dogs; Oxford study: reduces senescent cells in humans","9-26 (monotherapy); 36.6 (with acarbose)",Mouse;Dog;Human,Phase 2,"NCT04488601;NCT05237687","Epigenetic age; immune function; lean tissue mass; pain scores; emotional well-being; visceral fat; bone density","PEARL trial (48-week RCT, 114 adults 50-85): safe and well-tolerated; women on 10mg weekly improved lean tissue and reduced pain; 5mg improved emotional well-being; caveat: compounded rapamycin had ~1/3 bioavailability of commercial formulation","Low-dose/intermittent: mouth ulcers most common; may enhance certain immune responses; manageable hyperlipidemia; PEARL confirmed safety at 5-10mg weekly; standard dose risks: immunosuppression, impaired wound healing, stomatitis, insulin resistance","Harrison DE et al. Rapamycin fed late in life extends lifespan in genetically heterogeneous mice. Nature. 2009;460(7253):392-395",2009,10.1038/nature08221,B,"Most robustly replicated pharmacological lifespan extension in mammals; 2025 review notes no clear clinical evidence of translation yet; Dog Aging Project TRIAD (580 dogs) ongoing"
"Everolimus (RAD001)",mTOR Inhibitor,Synthetic rapalog,"FKBP12-mediated mTORC1 inhibition identical to rapamycin mechanism; improved oral bioavailability; shorter half-life (~30h vs ~60h for rapamycin)",Deregulated Nutrient-Sensing;Disabled Macroautophagy;Chronic Inflammation,"Preclinical aging data mirrors rapamycin; primary contribution from clinical immune aging studies",Not reported,Mouse;Human,Phase 2,"NCT01227135;NCT05835999","Influenza vaccine antibody titers; PD-1+ T cell reduction; respiratory tract infection incidence","Mannick 2014 LANDMARK: 218 healthy older adults (>=65); 0.5mg/day or 5mg weekly enhanced influenza vaccine response by ~20%; reduced PD-1+ CD4/CD8 T cells; 2018 study with RTB101: 264 elderly, reduced RTIs by 30.6%; EVERLAST trial ongoing","Well-tolerated at low doses; mouth ulcers (2-10% at low doses); no significant immunosuppression at low doses; mild hyperlipidemia; full oncology doses have rapamycin-like side effects","Mannick JB et al. mTOR inhibition improves immune function in the elderly. Sci Transl Med. 2014;6(268):268ra179",2014,10.1126/scitranslmed.3009892,B,"Groundbreaking: first demonstration that mTOR inhibitor improves immune function in elderly rather than suppressing it"
RTB101,mTOR Inhibitor,Catalytic TORC1 inhibitor,"Catalytic (not allosteric) inhibitor of TORC1 kinase domain; derived from dactolisib (BEZ235); proposed preferential mTORC1 inhibition while sparing mTORC2 to avoid insulin resistance",Deregulated Nutrient-Sensing;Disabled Macroautophagy,"Limited independent preclinical aging data; clinical development focused",Not reported,Human,Phase 3 (failed),"NCT03693612","Incidence of laboratory-confirmed respiratory tract infections; immune markers","Phase 2b: RTB101 10mg + everolimus 0.5mg reduced RTIs by 30.6% (p=0.008) in 264 elderly; Phase 3 PROTECTOR: RTB101 monotherapy (10mg daily) FAILED in ~652 elderly -- did not reduce respiratory infections; resTORbio stock dropped ~75%","Tolerable in Phase 2b combination; Phase 3 monotherapy safety acceptable but no efficacy demonstrated","Mannick JB et al. Targeting the biology of ageing with mTOR inhibitors. Lancet Healthy Longev. 2021;2(5):e250-e262",2021,10.1016/S2666-7568(21)00062-3,A,"Phase 3 failure; resTORbio acquired; investigators (Mannick, Schor) co-founded Tornado Therapeutics (2022) for refined mTOR strategies"
"NMN (Nicotinamide Mononucleotide)",NAD+ Precursor,Direct NAD+ biosynthetic precursor,"Direct precursor to NAD+ via single NMNAT enzymatic step; NAD+ serves as redox cofactor, sirtuin substrate (SIRT1-7), PARP substrate for DNA repair, and CD38/CD157 substrate; restores age-depleted NAD+ levels",Genomic Instability;Mitochondrial Dysfunction;Deregulated Nutrient-Sensing,"12-month NMN suppressed age-related weight gain, enhanced energy metabolism, improved insulin sensitivity in mice (Mills 2016); improved vascular endothelial function; no published significant lifespan extension in mice",Not reported,Mouse;Human,Phase 1/2,"NCT03151239;NCT05594108;NCT07144527","Muscle insulin sensitivity; blood NAD+ metabolites; walking speed; sleep quality; metabolic parameters","Yoshino 2021: 250mg/day x 10 weeks improved muscle insulin sensitivity in prediabetic women; Feb 2025: liposomal NMN increased NAD+; 2024 (n=60): improved walking speed and sleep; meta-analysis of 8 RCTs: no significant benefit on fasting glucose, insulin, HbA1c, or lipids","Generally well-tolerated at doses up to 1200mg/day; no SAEs; mild GI symptoms (nausea, bloating), headache; long-term safety data (>12 weeks) limited; theoretical cancer concern re: fueling cancer cell metabolism","Yoshino M et al. Nicotinamide mononucleotide increases muscle insulin sensitivity in prediabetic women. Science. 2021;372(6547):1224-1229",2021,10.1126/science.abe9985,B,"Meta-analysis shows minimal benefits for sarcopenia/muscle in adults over 60; MIB-626 (crystalline NMN) Phase 2 active"
"NR (Nicotinamide Riboside)",NAD+ Precursor,Indirect NAD+ precursor,"NAD+ precursor requiring NRK1/NRK2 conversion to NMN then NMNAT conversion to NAD+; one additional enzymatic step vs NMN; crosses membranes via ENT channels; established oral bioavailability",Genomic Instability;Mitochondrial Dysfunction;Deregulated Nutrient-Sensing,"NR replenished NAD+ in aged mice; improved mitochondrial and stem cell function; enhanced muscle regeneration; modestly extended lifespan (Zhang 2016); improved cardiac function in dilated cardiomyopathy model",Modest (not quantified),Mouse;Human,Phase 2,"NCT02921659;NCT03151239","Blood NAD+ metabolites; PBMC mitochondrial respiration; cardiac function; cognition; epigenetic age","Consistently raises blood NAD+ in humans but NOT consistently translated to clinical endpoint improvements; MCI trial: increased NAD+ but did NOT alter cognition; reduced epigenetic age (PhenoAge, GrimAge); Long-COVID RCT (2000mg/day, 24wk, 58 pts); NR for HF: biomarkers up but no clinical benefit","Very well-tolerated at doses up to 2000mg/day; no SAEs; no hepatotoxicity signal; mild GI symptoms; less flushing than niacin","Zhang H et al. NAD+ repletion improves mitochondrial and stem cell function and enhances life span in mice. Science. 2016;352(6292):1436-1443",2016,10.1126/science.aaf2693,B,"The NAD+ paradox: blood NAD+ increases reliably but clinical benefits are inconsistent; 2025 assessment: minimal benefits for muscle mass/function in adults over 60"
CD38 Inhibitors,NAD+ Modulator,NADase inhibitor,"CD38 is the primary NADase in mammalian tissues; expression increases with age driven by inflammaging; responsible for majority of age-related NAD+ decline; inhibition preserves NAD+ by preventing degradation (upstream of NMN/NR supplementation approach)",Mitochondrial Dysfunction;Chronic Inflammation;Deregulated Nutrient-Sensing,"CD38 KO mice protected from metabolic dysfunction (Camacho-Pereira 2016); 78c (CD38 inhibitor) reversed age-related NAD+ decline, improved exercise capacity and metabolic parameters (Tarago 2018); restored cardiac and metabolic function (Chini 2020)",Not reported,Mouse,Preclinical,N/A,N/A,"No dedicated CD38 inhibitor clinical trials for aging; anti-CD38 antibodies (daratumumab) approved for myeloma but cause immune suppression; small-molecule 78c and analogs in preclinical development; combination with NMN/NR explored preclinically","Anti-CD38 antibodies cause profound immunosuppression (not suitable for aging); small-molecule inhibitors (78c) safety profile under evaluation; conceptually targets root cause of NAD+ decline rather than supplementation","Camacho-Pereira J et al. CD38 dictates age-related NAD decline and mitochondrial dysfunction. Cell Metab. 2016;23(6):1127-1139",2016,10.1016/j.cmet.2016.05.002,D,"Conceptually upstream of NMN/NR: maintains NAD+ by preventing degradation rather than supplying more precursors"
