First_Author,Title,Journal,Year,DOI_or_URL,Study_Type,Topic_Category,Key_Findings_Summary,Impact_Factor_Approx,Citation_Count_Approx,Relevance_Notes
"Lopez-Otin C","Hallmarks of aging: An expanding universe","Cell",2023,"10.1016/j.cell.2022.11.001","Review","Aging Hallmarks Framework","Expanded the hallmarks of aging from 9 to 12. Added disabled macroautophagy, chronic inflammation (inflammaging), and dysbiosis. Comprehensive update on mechanistic understanding and therapeutic targeting. Definitive reference framework for the aging research field.",66,5000,"Foundational framework paper; most important reference for organizing aging research"
"Lopez-Otin C","The hallmarks of aging","Cell",2013,"10.1016/j.cell.2013.05.039","Review","Aging Hallmarks Framework","Defined the original 9 hallmarks of aging: genomic instability, telomere attrition, epigenetic alterations, loss of proteostasis, deregulated nutrient-sensing, mitochondrial dysfunction, cellular senescence, stem cell exhaustion, and altered intercellular communication. One of the most-cited papers in biology.",66,25000,"Original hallmarks paper; >25000 citations; unifying conceptual framework for aging biology"
"Campisi J","From discoveries in ageing research to therapeutics for healthy ageing","Nature",2019,"10.1038/s41586-019-1365-2","Review","Translational Aging Research","Comprehensive overview of translational pipeline from basic aging biology to therapeutic interventions. Covered senolytics, mTOR inhibitors, NAD+ precursors, metformin. Discussed regulatory challenges, biomarker needs, and clinical trial design.",69,2500,"Roadmap for clinical translation of aging research"
"Partridge L","The quest to slow ageing through drug discovery","Nature Reviews Drug Discovery",2020,"10.1038/s41573-020-0067-7","Review","Drug Development for Aging","Evaluated drug development landscape for aging including rapamycin, metformin, senolytics, NAD+ boosters. Discussed regulatory, clinical trial design, and commercial challenges. Highlighted TAME trial as regulatory paradigm-shift.",122,1500,"Highest impact factor journal reviewing aging drug development"
"Aging Biomarker Consortium","Biomarkers of aging for the identification and evaluation of longevity interventions","Cell",2023,"10.1016/j.cell.2023.08.003","Review","Aging Biomarkers","Comprehensive framework for aging biomarkers organized by hallmark. Evaluated epigenetic clocks, proteomic biomarkers, metabolomic markers. Proposed standardized approaches for biomarker validation. Identified DunedinPACE and GrimAge as most promising epigenetic clock endpoints.",66,500,"Key reference for aging biomarker selection in clinical trials"
"Zhu Y","The Achilles' heel of senescent cells: from transcriptome to senolytic drugs","Aging Cell",2015,"10.1111/acel.12344","Preclinical_InVitro","Senolytics","First identification and validation of senolytic drugs. Identified senescent cell anti-apoptotic pathways (SCAPs). Dasatinib and quercetin (D+Q) validated as senolytic agents. D+Q improved cardiovascular function and reduced frailty in aged mice. Foundational paper for senolytic field.",11,3000,"Foundational paper that launched the entire senolytic drug field"
"Xu M","Senolytics improve physical function and increase lifespan in old age","Nature Medicine",2018,"10.1038/s41591-018-0092-9","Preclinical_Animal","Senolytics","Transplanting senescent cells into young mice caused dysfunction. D+Q cleared senescent cells and extended remaining median lifespan by ~36% when started in 24-month-old mice. Demonstrated senescent cell clearance can extend lifespan even in late life.",87,2000,"Critical preclinical evidence for senolytics extending lifespan even when started late in life"
"Hickson LJ","Senolytics decrease senescent cells in humans: preliminary report of dasatinib plus quercetin in diabetic kidney disease","EBioMedicine",2019,"10.1016/j.ebiom.2019.08.069","RCT","Senolytics","First demonstration that senolytics reduce senescent cell burden in humans. 9 DKD patients received D+Q for 3 days. Reduced adipose SA-beta-gal+ cells, p16INK4a, p21, and circulating SASP factors. No serious adverse events.",11,1500,"First-in-human senolytic proof-of-concept; milestone for the field"
"Yousefzadeh MJ","Fisetin is a senotherapeutic that extends health and lifespan","EBioMedicine",2018,"10.1016/j.ebiom.2018.09.015","Preclinical_Animal","Senolytics","Screened 10 flavonoids for senolytic activity; fisetin was the most potent. Late-life fisetin treatment in mice extended median lifespan by ~10% and maximum lifespan. Reduced senescent cell markers in multiple tissues.",11,1200,"Key preclinical evidence for fisetin as a natural senolytic compound"
"Baker DJ","Naturally occurring p16(Ink4a)-positive cells shorten healthy lifespan","Nature",2016,"10.1038/nature16932","Preclinical_Animal","Cellular Senescence","Using INK-ATTAC transgenic model, selective elimination of p16INK4a+ senescent cells extended median lifespan by 17-35%. Delayed age-related deterioration of multiple organs. Established causal link between senescent cells and aging phenotypes.",69,4000,"Landmark genetic proof that senescent cells causally drive aging"
"Kirkland JL","Senolytic drugs: from discovery to translation","Journal of Internal Medicine",2020,"10.1111/joim.13141","Review","Senolytics","Comprehensive review of senolytic field from discovery through early clinical translation. Covered mechanisms, preclinical results, early clinical data, safety considerations, and the hit-and-run dosing paradigm.",13,800,"Authoritative review of senolytic drug development by the field's pioneer"
"Di Micco R","Cellular senescence in ageing: from mechanisms to therapeutic opportunities","Nature Reviews Molecular Cell Biology",2021,"10.1038/s41580-020-00314-w","Review","Cellular Senescence","Comprehensive mechanistic review of cellular senescence: triggers, signaling pathways (p53/p21, p16INK4a/Rb), SASP regulation, beneficial vs. detrimental roles, and therapeutic targeting with senolytic and senomorphic approaches.",113,2500,"Highest impact factor review of cellular senescence mechanisms"
"Chaib S","Cellular senescence and senolytics: opportunities and challenges for clinical translation","Nature Medicine",2022,"10.1038/s41591-022-01923-y","Review","Senolytics","State-of-the-art review of clinical senolytic translation. Covered clinical trial results, candidate identification strategies, combination approaches, and remaining challenges including patient selection and biomarker development.",87,800,"Most current high-impact review of senolytic clinical translation"
"Harrison DE","Rapamycin fed late in life extends lifespan in genetically heterogeneous mice","Nature",2009,"10.1038/nature08221","Preclinical_Animal","mTOR / Rapamycin","First demonstration that rapamycin extends mammalian lifespan. NIA ITP showed rapamycin started at 600 days extended median lifespan by 14% (males) and 9% (females). Maximum lifespan also extended. Gold standard for pharmacological lifespan extension.",69,5000,"Landmark paper establishing rapamycin as gold standard longevity drug in mammals"
"Mannick JB","mTOR inhibition improves immune function in the elderly","Science Translational Medicine",2014,"10.1126/scitranslmed.3009892","RCT","mTOR / Rapamycin","Low-dose everolimus enhanced influenza vaccine response by ~20% in 218 elderly adults. Paradigm-shifting: mTOR inhibition can ENHANCE immune function at low doses. Reduced PD-1 on T cells. First human evidence for mTOR modulation as geroprotective strategy.",19,2000,"Paradigm-shifting human evidence that mTOR inhibition can improve rather than suppress immunity"
"Mannick JB","TORC1 inhibition enhances immune function and reduces infections in the elderly","Science Translational Medicine",2018,"10.1126/scitranslmed.aaq1564","RCT","mTOR / Rapamycin","Low-dose everolimus + RTB101 reduced respiratory tract infections by 30.6% in 264 elderly adults. Enhanced vaccine response. Led to founding of resTORbio and Phase 3 PROTECTOR trial.",19,1000,"Phase 2b positive result that drove clinical development of mTOR inhibitors for aging"
"Bitto A","Transient rapamycin treatment can increase lifespan and healthspan in middle-aged mice","eLife",2016,"10.7554/eLife.16351","Preclinical_Animal","mTOR / Rapamycin","Short-term rapamycin (3 months) in middle-aged mice improved healthspan markers and extended lifespan. Effects persisted after drug discontinuation. Suggested transient mTOR inhibition may have durable geroprotective effects.",8,500,"Important evidence that brief rapamycin treatment may have lasting benefits"
"Miller RA","Rapamycin-mediated lifespan increase in mice is dose and sex dependent and metabolically distinct from dietary restriction","Aging Cell",2014,"10.1111/acel.12194","Preclinical_Animal","mTOR / Rapamycin","ITP confirmation: rapamycin extended median lifespan up to 23% (males) and 26% (females) at highest dose. Dose-response relationship established. Metabolic profile differed from caloric restriction indicating distinct mechanisms.",11,1500,"Definitive ITP dose-response study for rapamycin lifespan extension"
"Kaeberlein M","Rapamycin and Alzheimer's disease: Time for a clinical trial?","Science Translational Medicine",2019,"10.1126/scitranslmed.aar4289","Commentary","mTOR / Rapamycin","Argued for clinical trials of rapamycin in Alzheimer's based on preclinical evidence of reduced amyloid/tau pathology, improved cerebrovascular function, and enhanced autophagy. Discussed dosing strategies and trial design.",19,400,"Influential perspective driving rapamycin-Alzheimer's clinical trials"
"Yoshino M","Nicotinamide mononucleotide increases muscle insulin sensitivity in prediabetic women","Science",2021,"10.1126/science.abe9985","RCT","NAD+ Precursors","NMN 250 mg/day for 10 weeks improved muscle insulin sensitivity by ~25% (gold-standard clamp) in 25 postmenopausal prediabetic women. Increased blood NAD+ metabolites. First human RCT showing clinical metabolic benefit from NMN.",63,1500,"First human RCT demonstrating clinical metabolic benefit from NMN supplementation"
"Mills KF","Long-term administration of nicotinamide mononucleotide mitigates age-associated physiological decline in mice","Cell Metabolism",2016,"10.1016/j.cmet.2016.09.013","Preclinical_Animal","NAD+ Precursors","12-month NMN supplementation in mice suppressed age-related weight gain, enhanced energy metabolism, improved insulin sensitivity, lipid profiles, eye function, and prevented age-associated gene expression changes. Most comprehensive preclinical NMN study.",29,2500,"Most comprehensive preclinical NMN study demonstrating broad healthspan benefits"
"Zhang H","NAD+ repletion improves mitochondrial and stem cell function and enhances life span in mice","Science",2016,"10.1126/science.aaf2693","Preclinical_Animal","NAD+ Precursors","NR replenished NAD+ in aged mice, improved mitochondrial function, enhanced muscle stem cell function, and modestly extended lifespan. Demonstrated that NAD+ decline contributes to stem cell exhaustion in aging.",63,2000,"Key evidence linking NAD+ decline to stem cell exhaustion and demonstrating NR benefits"
"Camacho-Pereira J","CD38 dictates age-related NAD decline and mitochondrial dysfunction through an SIRT3-dependent mechanism","Cell Metabolism",2016,"10.1016/j.cmet.2016.05.006","Preclinical_Animal","NAD+ Metabolism","Identified CD38 as primary driver of age-related NAD+ decline. CD38 expression increases with age. CD38 knockout mice maintain youthful NAD+ levels. Established rationale for CD38 inhibition as longevity strategy.",29,1800,"Identified CD38 as the key enzymatic driver of age-related NAD+ decline"
"Covarrubias AJ","Senescent cells promote tissue NAD+ decline during ageing via the activation of CD38+ macrophages","Nature Metabolism",2020,"10.1038/s42255-020-00305-3","Preclinical_Animal","NAD+ Metabolism","Connected senescence to NAD+ decline: senescent cells secrete SASP factors inducing CD38 on macrophages, which consume tissue NAD+. Mechanistic link between two major aging hallmarks (senescence and deregulated nutrient-sensing).",20,800,"Discovered the mechanistic link between cellular senescence and NAD+ decline"
"Imai S","NAD+ and sirtuins in aging and disease","Trends in Cell Biology",2014,"10.1016/j.tcb.2014.04.002","Review","NAD+ Metabolism","Definitive review of NAD+/sirtuin axis in aging. Described NAD+ biosynthetic pathways, role of each sirtuin (SIRT1-7), age-related NAD+ decline, and therapeutic strategies for NAD+ restoration.",22,3000,"Definitive review of NAD+/sirtuin axis; essential reference for NAD+ biology"
"Dollerup OL","A randomized placebo-controlled clinical trial of nicotinamide riboside in obese men","American Journal of Clinical Nutrition",2018,"10.1093/ajcn/nqy132","RCT","NAD+ Precursors","NR 1000 mg BID for 12 weeks in obese men raised blood NAD+ but showed NO improvement in insulin sensitivity, body composition, or lipid profiles. Key negative result highlighting translation gap for NAD+ precursors.",8,800,"Important negative result showing NR may not translate to clinical metabolic benefits in all populations"
"Barzilai N","Metformin as a Tool to Target Aging","Cell Metabolism",2016,"10.1016/j.cmet.2016.05.011","Review","Metformin / TAME","Laid out scientific rationale and clinical trial design for TAME trial. Discussed metformin's pleiotropic mechanisms (AMPK, mTOR, inflammation, microbiome), epidemiological evidence, and regulatory significance of testing aging as treatable condition.",29,2000,"Foundational paper for the TAME trial; established regulatory framework for aging as indication"
"Bannister CA","Can people with type 2 diabetes live longer than those without? Metformin vs. sulphonylurea and non-diabetic controls","Diabetes Obesity and Metabolism",2014,"10.1111/dom.12354","Observational","Metformin","In ~180,000 UK patients, type 2 diabetics on metformin had 15% longer survival than matched non-diabetic controls. Generated enormous interest in metformin as a geroprotective agent.",6,2500,"Key epidemiological finding driving interest in metformin for longevity"
"Martin-Montalvo A","Metformin improves healthspan and lifespan in mice","Nature Communications",2013,"10.1038/ncomms3192","Preclinical_Animal","Metformin","Metformin (0.1% diet) starting at 12 months extended mean lifespan by 5.83% in mice. Improved metabolic health. 1% dose was toxic indicating narrow therapeutic window. Transcriptomic profile partially resembled caloric restriction.",17,2000,"Key preclinical evidence for metformin lifespan extension; established dose-response"
"Campbell JM","Metformin reduces all-cause mortality and diseases of ageing independent of its effect on diabetes control: systematic review and meta-analysis","Ageing Research Reviews",2017,"10.1016/j.arr.2017.08.001","Meta-analysis","Metformin","Systematic review: metformin associated with reduced all-cause mortality (HR 0.78, 95% CI 0.71-0.86) and reduced cancer incidence vs. other diabetes drugs. Effects appeared independent of glucose control.",12,1200,"Definitive meta-analysis supporting metformin's aging-independent mortality reduction"
"Kulkarni AS","Benefits of Metformin in Attenuating the Hallmarks of Aging","Cell Metabolism",2020,"10.1016/j.cmet.2020.04.001","Review","Metformin","Mapped metformin's effects to hallmarks of aging framework. Reviewed evidence for effects on genomic instability, epigenetic alterations, inflammation, nutrient sensing, mitochondrial dysfunction, cellular senescence, and stem cell function.",29,800,"Comprehensive mapping of metformin effects to all aging hallmarks"
"Lu Y","Reprogramming to recover youthful epigenetic information and restore vision","Nature",2020,"10.1038/s41586-020-2975-4","Preclinical_Animal","Epigenetic Reprogramming","In vivo expression of OSK factors in retinal ganglion cells reversed age-related epigenetic changes, restored youthful gene expression, and recovered vision loss from glaucoma and aging. Proposed information theory of aging.",69,2000,"Landmark demonstration that aging is reversible through epigenetic reprogramming"
"Browder KC","In vivo partial reprogramming alters age-associated molecular changes during physiological aging in mice","Nature Aging",2022,"10.1038/s43587-022-00183-2","Preclinical_Animal","Epigenetic Reprogramming","Long-term partial reprogramming (cyclic OSKM, 2 days on / 5 off) in progeroid and naturally aged mice reversed age-related changes in multiple tissues, improved regeneration, reduced epigenetic age without causing teratomas.",17,500,"Key safety and efficacy data for in vivo partial reprogramming approach"
"Gill D","Multi-omic rejuvenation of human cells by maturation phase transient reprogramming","eLife",2022,"10.7554/eLife.71624","Preclinical_InVitro","Epigenetic Reprogramming","Maturation phase transient reprogramming (MPTR) of elderly human fibroblasts rejuvenated cells at transcriptomic, epigenomic, and metabolomic levels (reducing epigenetic age by ~30 years) while retaining cell identity.",8,500,"Key proof-of-concept for human cell rejuvenation through transient reprogramming"
"Yang JH","Loss of epigenetic information as a cause of mammalian aging","Cell",2023,"10.1016/j.cell.2022.12.027","Preclinical_Animal","Epigenetic Reprogramming","Inducing non-mutagenic DNA breaks (epigenetic changes without genetic mutations) in mice caused accelerated aging. OSK expression reversed these changes. Supports information theory of aging -- aging driven by epigenetic information loss, not genetic mutations.",66,1000,"Strongest evidence for information theory of aging; aging caused by epigenetic loss"
